"","plot","long","lat","samp_date","src_data"
"151","18M",-165.081645,66.176813,"7/20/03 0:00","ARCN FIA plot"
"152","18P",-164.622048,66.339376,"7/31/03 0:00","ARCN FIA plot"
"153","19M",-164.594883,66.180659,"7/20/03 0:00","ARCN FIA plot"
"154","19P",-164.403228,66.265953,"7/31/03 0:00","ARCN FIA plot"
"155","20P",-164.20328,66.341844,"7/31/03 0:00","ARCN FIA plot"
"156","21M",-164.401726,66.41995,"7/31/03 0:00","ARCN FIA plot"
"157","21P",-164.243385,66.383847,"7/31/03 0:00","ARCN FIA plot"
"158","Plot A",-164.12529,65.78974,"8/13/00 0:00","ARCN FIA plot"
"159","Plot C",-163.7675,65.81004,"8/21/00 0:00","ARCN FIA plot"
"160","Plot D",-163.56019,65.86603,"8/13/00 0:00","ARCN FIA plot"
"161","Plot E",-163.68788,65.84483,"8/13/00 0:00","ARCN FIA plot"
"162","Plot J",-163.46541,65.44219,"8/13/00 0:00","ARCN FIA plot"
"163","Plot K",-163.3376,65.33863,"8/13/00 0:00","ARCN FIA plot"
"164","Plot N",-163.38339,65.51183,"8/15/01 0:00","ARCN FIA plot"
"165","Plot W",-163.57498,65.57865,"8/15/01 0:00","ARCN FIA plot"
"166","Plot Y",-164.74412,65.86076,"8/21/01 0:00","ARCN FIA plot"
"167","Plot 4",-162.88275,65.67639,"7/1/02 0:00","ARCN FIA plot"
"168","Plot 11",-164.8451,65.88912,"8/21/01 0:00","ARCN FIA plot"
"169","Plot 16",-162.73312,65.74065,"7/1/02 0:00","ARCN FIA plot"
"170","Plot 22",-164.57674,66.07001,"7/1/02 0:00","ARCN FIA plot"
"171","Plot 23",-164.56063,66.07061,"7/1/02 0:00","ARCN FIA plot"
"172","Plot 25",-164.51706,66.08747,"7/8/02 0:00","ARCN FIA plot"
"173","Plot 26",-164.56592,66.06256,"7/1/02 0:00","ARCN FIA plot"
"174","EKOTZ10",-162.537136,66.878387,"7/1/06 0:00","ARCN FIA plot"
"175","EKOTZ50",-162.536345,66.878569,"7/1/06 0:00","ARCN FIA plot"
"176","EKOTZ100",-162.535373,66.878793,"7/1/06 0:00","ARCN FIA plot"
"177","TREF1-1",-163.532558,67.18556,"7/3/06 0:00","ARCN FIA plot"
"178","TREF1-2",-163.524183,67.189896,"7/2/06 0:00","ARCN FIA plot"
"179","TREF1-3",-163.532548,67.185153,"7/3/06 0:00","ARCN FIA plot"
"180","TREF2-1",-163.163485,67.144241,"7/2/06 0:00","ARCN FIA plot"
"181","TREF2-2",-163.126878,67.118622,"7/2/06 0:00","ARCN FIA plot"
"182","TREF2-3",-163.16103,67.144445,"7/2/06 0:00","ARCN FIA plot"
"183","EREF1-2",-163.594824,67.241524,"7/3/06 0:00","ARCN FIA plot"
"184","EREF2-1",-163.134477,67.141356,"7/2/06 0:00","ARCN FIA plot"
"185","EREF2-2",-163.137895,67.140379,"7/2/06 0:00","ARCN FIA plot"
"186","EREF2-3",-163.120174,67.12451,"7/2/06 0:00","ARCN FIA plot"
